1
1	 YOU ARE STANDING AT THE END OF A ROAD BEFORE A SMALL BRICK
1	 BUILDING . AROUND YOU IS A FOREST. A SMALL
1	 STREAM FLOWS OUT OF THE BUILDING AND DOWN A GULLY.
2	 YOU HAVE WALKED UP A HILL, STILL IN THE FOREST
2	 THE ROAD NOW SLOPES BACK DOWN THE OTHER SIDE OF THE HILL.
2	 THERE IS A BUILDING IN THE DISTANCE.
3	 YOU ARE INSIDE A BUILDING, A WELL HOUSE FOR A LARGE SPRING.
4	 YOU ARE IN A VALLEY IN THE FOREST BESIDE A STREAM TUMBLING
4	 ALONG A ROCKY BED.
5	 YOU ARE IN OPEN FOREST, WITH A DEEP VALLEY TO ONE SIDE.
6	 YOU ARE IN OPEN FOREST NEAR BOTH A VALLEY AND A ROAD.
7	 AT YOUR FEET ALL THE WATER OF THE STREAM SPLASHES INTO A
7	 2 INCH SLIT IN THE ROCK. DOWNSTREAM THE STREAMBED IS BARE ROCK.
8	 YOU ARE IN A 20 FOOT DEPRESSION FLOORED WITH BARE DIRT. SET INTO
8	 THE DIRT IS A STRONG STEEL GRATE MOUNTED IN CONCRETE. A DRY
8	 STREAMBED LEADS INTO THE DEPRESSION.
9	 YOU ARE IN A SMALL CHAMBER BENEATH A 3X3 STEEL GRATE TO THE
9	 SURFACE. A LOW CRAWL OVER COBBLES LEADS INWARD TO THE WEST.
10	 YOU ARE CRAWLING OVER COBBLES IN A LOW PASSAGE. THERE IS A
10	 DIM LIGHT AT THE EAST END OF THE PASSAGE.
11	 YOU ARE IN A DEBRIS ROOM, FILLED WITH STUFF WASHED IN FROM
11	 THE SURFACE. A LOW WIDE PASSAGE WITH COBBLES BECOMES
11	 PLUGGED WITH MUD AND DEBRIS HERE,BUT AN AWKWARD CANYON
11	 LEADS UPWARD AND WEST.
11	 A NOTE ON THE WALL SAYS 'MAGIC WORD XYZZY'.
12	 YOU ARE IN AN AWKWARD SLOPING EAST/WEST CANYON.
13	 YOU ARE IN A SPLENDID CHAMBER THIRTY FEET HIGH. THE WALLS
13	 ARE FROZEN RIVERS OF ORANGE STONE. AN AWKWARD CANYON AND A
13	 GOOD PASSAGE EXIT FROM EAST AND WEST SIDES OF THE CHAMBER.
14	 AT YOUR FEET IS A SMALL PIT BREATHING TRACES OF WHITE MIST. AN
14	 EAST PASSAGE ENDS HERE EXCEPT FOR A SMALL CRACK LEADING ON.
15	 YOU ARE AT ONE END OF A VAST HALL STRETCHING FORWARD OUT OF
15	 SIGHT TO THE WEST. THERE ARE OPENINGS TO EITHER SIDE. NEARBY, A WIDE
15	 STONE STAIRCASE LEADS DOWNWARD. THE HALL IS FILLED WITH
15	 WISPS OF WHITE MIST SWAYING TO AND FRO ALMOST AS IF ALIVE.
15	 A COLD WIND BLOWS UP THE STAIRCASE. THERE IS A PASSAGE
15	 AT THE TOP OF A DOME BEHIND YOU.
16	 THE CRACK IS FAR TOO SMALL FOR YOU TO FOLLOW.
17	 YOU ARE ON THE EAST BANK OF A FISSURE SLICING CLEAR ACROSS
17	 THE HALL. THE MIST IS QUITE THICK HERE, AND THE FISSURE IS
17	 TOO WIDE TO JUMP.
18	 THIS IS A LOW ROOM WITH A CRUDE NOTE ON THE WALL.
18	 IT SAYS 'YOU WON'T GET IT UP THE STEPS'.
19	 YOU ARE IN THE HALL OF THE MOUNTAIN KING, WITH PASSAGES
19	 OFF IN ALL DIRECTIONS.
20	 YOU ARE AT THE BOTTOM OF THE PIT WITH A BROKEN NECK.
21	 YOU DIDN'T MAKE IT
22	 THE DOME IS UNCLIMBABLE
23	 YOU CAN'T GO IN THROUGH A LOCKED STEEL GRATE!
24	 YOU DON'T FIT DOWN A TWO INCH HOLE!
25	 YOU CAN'T GO THROUGH A LOCKED STEEL GRATE.
27	 YOU ARE ON THE WEST SIDE OF THE FISSURE IN THE HALL OF MISTS.
28	 YOU ARE IN A LOW N/S PASSAGE AT A HOLE IN THE FLOOR.
28	 THE HOLE GOES DOWN TO AN E/W PASSAGE.
29	 YOU ARE IN THE SOUTH SIDE CHAMBER.
30	 YOU ARE IN THE WEST SIDE CHAMBER OF HALL OF MT KING.
30	 A PASSAGE CONTINUES WEST AND UP HERE.

31	 THERE IS NO WAY ACROSS THE FISSURE.
32	 YOU CAN'T GET BY THE SNAKE
33	 YOU ARE IN A LARGE ROOM, WITH A PASSAGE TO THE SOUTH,
33	 A PASSAGE TO THE WEST, AND A WALL OF BROKEN ROCK TO
33	 THE EAST. THERE IS A LARGE 'Y2' ON A ROCK IN ROOMS CENTER.
34	 YOU ARE IN A JUMBLE OF ROCK, WITH CRACKS EVERYWHERE.
35	 YOU ARE AT A WINDOW ON A HUGE PIT, WHICH GOES UP AND
35	 DOWN OUT OF SIGHT. A FLOOR IS INDISTINCTLY VISIBLE
35	 OVER 50 FEET BELOW. DIRECTLY OPPOSITE YOU AND 25 FEET AWAY
35	 THERE IS A SIMILAR WINDOW.
36	 YOU ARE IN A DIRTY BROKEN PASSAGE. TO THE EAST IS A CRAWL.
36	 TO THE WEST IS A LARGE PASSAGE. ABOVE YOU IS A HOLE TO
36	 ANOTHER PASSAGE.
37	 YOU ARE ON THE BRINK OF A SMALL CLEAN CLIMBABLE PIT.
37	 A CRAWL LEADS WEST.
38	 YOU ARE IN THE BOTTOM OF A SMALL PIT WITH A LITTLE
38	 STREAM, WHICH ENTERS AND EXITS THROUGH TINY SLITS.
39	 YOU ARE IN A LARGE ROOM FULL OF DUSTY ROCKS. THERE IS A
39	 BIG HOLE IN THE FLOOR. THERE ARE CRACKS EVERYWHERE, AND
39	 A PASSAGE LEADING EAST.
40	 YOU HAVE CRAWLED THROUGH A VERY LOW WIDE PASSAGE PARALLEL
40	 TO AND NORTH OF THE HALL OF MISTS.
41	 YOU ARE AT THE WEST END OF HALL OF MISTS. A LOW WIDE CRAWL
41	 CONTINUES WEST AND ANOTHER GOES NORTH. TO THE SOUTH IS A
41	 LITTLE PASSAGE 6 FEET OFF THE FLOOR.
42	 YOU ARE IN A MAZE OF TWISTY LITTLE PASSAGES, ALL ALIKE.
43	 YOU ARE IN A MAZE OF TWISTY LITTLE PASSAGES, ALL ALIKE.
44	 YOU ARE IN A MAZE OF TWISTY LITTLE PASSAGES, ALL ALIKE.
45	 YOU ARE IN A MAZE OF TWISTY LITTLE PASSAGES, ALL ALIKE.
46	 DEAD END
47	 DEAD END
48	 DEAD END
49	 YOU ARE IN A MAZE OF TWISTY LITTLE PASSAGES, ALL ALIKE.
50	 YOU ARE IN A MAZE OF TWISTY LITTLE PASSAGES, ALL ALIKE.
51	 YOU ARE IN A MAZE OF TWISTY LITTLE PASSAGES, ALL ALIKE.
52	 YOU ARE IN A MAZE OF TWISTY LITTLE PASSAGES, ALL ALIKE.
53	 YOU ARE IN A MAZE OF TWISTY LITTLE PASSAGES, ALL ALIKE.
54	 DEAD END
55	 YOU ARE IN A MAZE OF TWISTY LITTLE PASSAGES, ALL ALIKE.
56	 DEAD END
57	 YOU ARE ON THE BRINK OF A THIRTY FOOT PIT WITH A MASSIVE
57	 ORANGE COLUMN DOWN ONE WALL. YOU COULD CLIMB DOWN HERE
57	 BUT YOU COULD NOT GET BACK UP. THE MAZE CONTINUES AT THIS
57	 LEVEL.
58	 DEAD END
59	 YOU HAVE CRAWLED THROUGH A VERY LOW WIDE PASSAGE PARALLEL
59	 TO AND NORTH OF THE HALL OF MISTS.
60	 YOU ARE AT THE EAST END OF A VERY LONG HALL APPARENTLY
60	 WITHOUT SIDE CHAMBERS. TO THE EAST A LOW WIDE CRAWL SLANTS
60	 UP. TO THE NORTH A ROUND TWO FOOT HOLE SLANTS DOWN.
61	 YOU ARE AT THE WEST END OF A VERY LONG FEATURELESS HALL.
62	 YOU ARE AT A CROSSOVER OF A HIGH N/S PASSAGE AND A LOW E/W ONE.
63	 DEAD END
64	 YOU ARE AT A COMPLEX JUNCTION. A LOW HANDS AND KNEES
64	 PASSAGE FROM THE NORTH JOINS A HIGHER CRAWL
64	 FROM THE EAST TO MAKE  A WALKING PASSAGE GOING WEST
64	 THERE IS ALSO A LARGE ROOM ABOVE. THE AIR IS DAMP HERE.
64	 A SIGN IN MIDAIR HERE SAYS 'CAVE UNDER CONSTRUCTION BEYOND
64	 THIS POINT. PROCEED AT OWN RISK.'
65	 YOU ARE IN BEDQUILT, A LONG EAST/WEST PASSAGE WITH HOLES EVERYWHERE.
65	 TO EXPLORE AT RANDOM SELECT NORTH, SOUTH, UP, OR DOWN.
